name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
thr201_connector,false,3,3,60,_thr_sub_1_lsb,thr201,0.001,km,,
mdv202_connector,false,3,3,60,_mdv_sub_2_lsb,mdv202,0.001,km,,
mdv201_connector,true,3,3,60,_mdv_sub_1_lsb,mdv201,0.001,km,,
pit201_connector,false,3,3,60,_pit_sub_1_lsb,pit201,0.001,km,,
mdv201_hn_1_275_a94744,true,1,1,60,94743.1,94744.1,0.07894319700000001,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_hn_2_466_c62235,true,1,1,60,62244.3,62235.3,0.042671999,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_da_8_780_a1144234,true,1,1,60,1144235.1,1144234.1,0.1161288,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_1160486elb-1_sw,true,1,1,60,39754.2,mdv201_1160486elb_int.2,0.001,km,,
mdv201_1160486elb,true,1,1,60,mdv201_1160486elb_int.2,1160486.2,0.001524,km,busbar,
mdv201_hn_2p009_b1160473,true,1,1,60,1160476.2,1160473.2,0.060959998,km,ug_1/0al,
mdv201_hn_2_088_abc8164,true,3,3,60,8163,8164,0.084124797,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_hn_2_319_b39610,true,1,1,60,103730.2,39610.2,0.019202399,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_hn_2_417_a842,true,1,1,60,835.1,842.1,0.048767998,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_osw_67888_sw,false,3,3,60,107782,mdv201_osw_67888_int,0.001,km,,
mdv201_osw_67888,false,3,3,60,mdv201_osw_67888_int,67888,0.001524,km,,3ph_horiz_lg_1c-busbarbusbarbusbarbusbar
mdv201_hn_2_941_b39760,true,1,1,60,39775.2,39760.2,0.060350398,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_1160480elb-1_sw,true,1,1,60,15004.2,mdv201_1160480elb_int.2,0.001,km,,
mdv201_1160480elb,true,1,1,60,mdv201_1160480elb_int.2,1160480.2,0.001524,km,busbar,
c_1p034_sw,true,1,1,60,1160492.1,mdv201_8088elb_int.1,0.001,km,,
mdv201_8088elb,true,1,1,60,mdv201_8088elb_int.1,8088.1,0.001524,km,busbar,
mdv201_hn_2_499_abc834,true,3,3,60,829,834,0.088391997,km,,3ph_horiz_lg_1c-cu_#2_7strcu_#2_7strcu_#2_7stracsr_1/0_6/1
mdv201_1160478elb-1_sw,true,1,1,60,15005.2,mdv201_1160478elb_int.2,0.001,km,,
mdv201_1160478elb,true,1,1,60,mdv201_1160478elb_int.2,1160478.2,0.001524,km,busbar,
mdv201_hn_2_217_abc8160,true,3,3,60,44582,8160,0.025907999,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_hn_2_942_c89791,true,1,1,60,89783.3,89791.3,0.052120798,km,,1ph-nonenoneal_#2_7stracsr_1/0_6/1
