name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
mdv201_1144260fuse-1b0,true,1,2,60,x_1144260_1.2,0.24,6.381454,2.43785400000001,6.831258103704767,0.934155012608757,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_461_c62251-1c0,true,1,2,60,x_62251_1.3,0.24,3.86385,1.526731666666672,4.15454527048422,0.93002958168504,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_461_c62251-1c1,true,1,2,60,x_62251_2.3,0.24,3.86385,1.526731666666672,4.15454527048422,0.93002958168504,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_461_c62251-1c2,true,1,2,60,x_62251_3.3,0.24,3.86385,1.526731666666672,4.15454527048422,0.93002958168504,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_6569elb-1b0,true,1,2,60,x_6569_1.2,0.24,7.802753,2.980821666666657,8.352739202649534,0.934154989242921,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_6569elb-1b1,true,1,2,60,x_6569_2.2,0.24,7.802753,2.980821666666657,8.352739202649534,0.934154989242921,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_6569elb-1b2,true,1,2,60,x_6569_3.2,0.24,7.802753,2.980821666666657,8.352739202649534,0.934154989242921,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_464_c62232-1c0,true,1,2,60,x_62232_1.3,0.24,6.567842,2.595165999999992,7.061971049538504,0.930029584365006,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_464_c62232-1c1,true,1,2,60,x_62232_2.3,0.24,6.567842,2.595165999999992,7.061971049538504,0.930029584365006,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_849_b94730-1b0,true,1,2,60,x_94730_1.2,0.24,2.73706266666667,1.045617666666668,2.929987772347507,0.934154979245437,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_849_b94730-1b1,true,1,2,60,x_94730_2.2,0.24,2.73706266666667,1.045617666666668,2.929987772347507,0.934154979245437,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_849_b94730-1b2,true,1,2,60,x_94730_3.2,0.24,2.73706266666667,1.045617666666668,2.929987772347507,0.934154979245437,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_683_a39601-1a0,true,1,2,60,x_39601_1.1,0.24,4.7720405,1.983956500000003,5.168022245262931,0.923378475077987,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_683_a39601-1a1,true,1,2,60,x_39601_2.1,0.24,4.7720405,1.983956500000003,5.168022245262931,0.923378475077987,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_093_abc63714-1b0,true,1,2,60,x_63714_1.2,0.24,2.1843735,0.8344779999999976,2.33834153193802,0.934155028324536,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_093_abc63714-1b1,true,1,2,60,x_63714_2.2,0.24,2.1843735,0.8344779999999976,2.33834153193802,0.934155028324536,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_414_a843-1a0,true,1,2,60,x_843_1.1,0.24,8.290480000000001,3.446733999999997,8.978420456692591,0.923378453926181,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_523_c856-1c0,true,1,2,60,x_856_1.3,0.24,6.153331,2.431378999999999,6.616274347183768,0.930029602327355,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_946_b56776-1b0,true,1,2,60,x_56776_1.2,0.24,13.788792,5.26761900000001,14.76071118708124,0.934154989230338,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_398_b63633-1b0,true,1,2,60,x_63633_1.2,0.24,4.31940566666667,1.650107000000007,4.623864014510068,0.934154995283602,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_398_b63633-1b1,true,1,2,60,x_63633_2.2,0.24,4.31940566666667,1.650107000000007,4.623864014510068,0.934154995283602,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_398_b63633-1b2,true,1,2,60,x_63633_3.2,0.24,4.31940566666667,1.650107000000007,4.623864014510068,0.934154995283602,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_924_a56786-1a0,true,1,2,60,x_56786_1.1,0.24,7.092247,2.948573000000002,7.68075844206404,0.923378472776721,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_924_a56786-1a1,true,1,2,60,x_56786_2.1,0.24,7.092247,2.948573000000002,7.68075844206404,0.923378472776721,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
