name,enabled,n_phases,n_conds,base_freq,x_hl,x_ht,x_lt,pct_load_loss,ppm_anti_float
mdv_sub_1,true,3,4,60,0.06971663829598414,0.35,0.3,0.6623755875367923,1E-6
mdv201_1144260fuse-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_461_c62251-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_6569elb-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_464_c62232-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_849_b94730-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_683_a39601-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_093_abc63714-1b,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_414_a843-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_523_c856-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_946_b56776-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_398_b63633-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_924_a56786-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_955_b39752-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_843_b69621-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_675_c89783-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_403_b792-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_528_c8154-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_c_1_370_b69485-1b,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_949_c8180-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_837_b39584-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_669_c89789-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_433_b787-1b,true,1,2,60,0.02,0.35,0.3,1.3,1E-6
mdv201_hn_2_459_c62259-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_942_c89791-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_663_c62247-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_159_b6572-1b,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_070_a1144231-1a,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_422_a790-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_389_b63636-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_936_b14995-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_821_b39618-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_656_a14864-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_304_a8174-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_63677fuse-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_357_c28293-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_489_c8104-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_650_a28242-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_537_c8094-1c,true,1,2,60,0.02,0.35,0.3,1.3,1E-6
mdv201_hn_21095_c1148537-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_283_abc14857-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_155_abc46395-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_1_380_c1012407-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_c_1_124_abc69481-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_112113fuse-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_c_1_162_a69459-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_644_a28238-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_147_c14840-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_012_c28259-1c,true,1,2,60,0.02,0.35,0.3,1.3,1E-6
mdv201_hn_2_016_abc63680-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_408_abc63655-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_1144240fuse-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_907_a39581-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_803_b837-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_638_c28237-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_107_a39589-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_202_c74456-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_029_abc62262-1b,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_165_c39776-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_da_8_861_b1149720-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_c_1_409_a8138-1a,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_c_1_399_a21654-1a,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_632_c28235-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_320_c28302-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_386_b811-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_107997elb-1a,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_491_c8114-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_118_abc28287-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_39756elb-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_148_abc56777-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_687_b74448-1b,true,1,2,60,0.02,0.35,0.3,1.3,1E-6
mdv201_hn_2_878_b1144266-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_760_abc28208-1a,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_760_abc28208-1b,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_760_abc28208-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_626_c14867-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_073_a8183-1a,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_da_8_360_b8205-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_780_a1144234-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_139_b56756-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_872_c63667-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_726_a63675-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_620_c28227-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_697_b46390-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_1_334_c28312-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_da_8_140_abc56751-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_866_c63673-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_718_c14876-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_157_b14989-1b,true,1,2,60,0.02,0.35,0.3,1.7,1E-6
mdv201_hn_2_407_b809-1b,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_1_401_a39574-1a,true,1,2,60,0.02,0.35,0.3,1.75,1E-6
mdv201_hn_2_536_c8093-1c,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_2_857_b94741-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_710_c52529-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_541_abc821-1b,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
mdv201_hn_21041_c39773-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_602_a8151-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_391_b63644-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_966_a63718-1a,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_850_b52520-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_697_c8125-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_hn_2_405_b803-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_030_abc62265-1b,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_da_8_736_c74436-1c,true,1,2,60,0.02,0.35,0.3,1.5,1E-6
mdv201_hn_2_538_c8095-1c,true,1,2,60,0.02,0.35,0.3,1.4,1E-6
mdv201_da_8_917_a56768-1a,true,1,2,60,0.02,0.35,0.3,1.65,1E-6
